#, ElapsedTime[ms], Freq[Hz], Duty[%], Pres1[Pa], Pres2[Pa], Pres_diff[Pa]
0,0,0.50,80.00,1653.19,1835.39,-182.20
1,34,0.50,80.00,1654.78,1836.67,-181.89
2,39,0.50,80.00,1654.10,1837.70,-183.60
3,44,0.50,80.00,1655.50,1839.49,-183.99
4,49,0.50,80.00,1656.63,1838.98,-182.35
5,54,0.50,80.00,1657.53,1839.54,-182.01
6,58,0.50,80.00,1658.25,1839.99,-181.74
7,64,0.50,80.00,1659.80,1840.35,-180.55
8,69,0.50,80.00,1660.07,1839.67,-179.60
9,74,0.50,80.00,1660.28,1840.09,-179.81
10,79,0.50,80.00,1660.45,1840.43,-179.98
11,86,0.50,80.00,1660.59,1840.71,-180.12
12,91,0.50,80.00,1658.74,1839.95,-181.20
13,95,0.50,80.00,1659.22,1840.32,-181.10
14,100,0.50,80.00,1659.60,1840.61,-181.01
15,106,0.50,80.00,1659.91,1839.87,-179.96
16,111,0.50,80.00,1660.15,1839.28,-179.13
17,116,0.50,80.00,1660.35,1838.81,-178.46
18,121,0.50,80.00,1657.58,1838.43,-180.85
19,125,0.50,80.00,1656.34,1839.10,-182.77
20,130,0.50,80.00,1655.34,1838.67,-183.32
21,135,0.50,80.00,1655.52,1839.29,-183.77
22,140,0.50,80.00,1655.67,1839.79,-184.12
23,148,0.50,80.00,1656.76,1839.22,-182.46
24,153,0.50,80.00,1657.64,1839.73,-182.10
25,157,0.50,80.00,1657.36,1840.15,-182.79
26,162,0.50,80.00,1656.16,1840.48,-184.32
27,167,0.50,80.00,1656.18,1839.76,-183.59
28,172,0.50,80.00,1657.17,1839.19,-182.02
29,177,0.50,80.00,1656.99,1838.74,-181.75
30,181,0.50,80.00,1656.84,1838.37,-181.53
31,186,0.50,80.00,1656.72,1838.08,-181.36
32,192,0.50,80.00,1656.63,1837.85,-181.22
33,197,0.50,80.00,1658.50,1837.66,-179.16
34,202,0.50,80.00,1658.05,1838.49,-180.43
35,209,0.50,80.00,1658.67,1838.17,-179.50
36,214,0.50,80.00,1659.16,1837.92,-178.76
37,219,0.50,80.00,1657.60,1837.72,-180.12
38,224,0.50,80.00,1657.33,1837.56,-180.23
39,228,0.50,80.00,1657.12,1837.43,-180.31
40,234,0.50,80.00,1659.87,1837.33,-177.45
41,239,0.50,80.00,1660.12,1837.24,-177.12
42,244,0.50,80.00,1660.33,1837.18,-176.85
43,249,0.50,80.00,1659.51,1837.13,-177.61
44,254,0.50,80.00,1659.84,1837.08,-177.25
