#, ElapsedTime[ms], Freq[Hz], Duty[%], Pres1[Pa], Pres2[Pa], Pres_diff[Pa]
0,0,0.50,70.00,-1240.73,-961.20,-279.52
1,33,0.50,70.00,-1241.41,-963.10,-278.31
2,39,0.50,70.00,-1241.96,-963.65,-278.31
3,44,0.50,70.00,-1240.44,-963.11,-277.33
4,49,0.50,70.00,-1242.16,-962.67,-279.48
5,53,0.50,70.00,-1242.55,-963.30,-279.25
6,58,0.50,70.00,-1243.85,-963.81,-280.04
7,63,0.50,70.00,-1244.88,-963.23,-281.65
8,68,0.50,70.00,-1245.71,-962.77,-282.94
9,73,0.50,70.00,-1241.49,-967.29,-274.20
10,79,0.50,70.00,-1243.00,-967.00,-276.00
11,85,0.50,70.00,-1242.25,-963.83,-278.42
12,90,0.50,70.00,-1243.60,-964.23,-279.38
13,95,0.50,70.00,-1243.71,-964.55,-279.16
14,100,0.50,70.00,-1244.77,-964.80,-279.97
15,105,0.50,70.00,-1245.62,-963.05,-282.57
16,109,0.50,70.00,-1246.30,-963.61,-282.70
17,114,0.50,70.00,-1245.87,-965.03,-280.85
18,120,0.50,70.00,-1240.64,-964.21,-276.43
19,125,0.50,70.00,-1242.32,-965.51,-276.81
20,130,0.50,70.00,-1243.66,-965.57,-278.09
21,134,0.50,70.00,-1243.76,-965.62,-278.14
22,139,0.50,70.00,-1245.79,-965.66,-280.13
23,146,0.50,70.00,-1246.43,-964.72,-281.72
24,151,0.50,70.00,-1246.95,-965.91,-281.04
25,156,0.50,70.00,-1246.39,-965.89,-280.50
26,161,0.50,70.00,-1246.92,-964.90,-282.01
27,167,0.50,70.00,-1247.34,-965.09,-282.25
28,172,0.50,70.00,-1241.82,-966.21,-275.61
29,176,0.50,70.00,-1243.26,-966.13,-277.13
30,181,0.50,70.00,-1244.41,-965.09,-279.32
31,186,0.50,70.00,-1245.33,-964.26,-281.07
32,191,0.50,70.00,-1244.12,-965.55,-278.57
33,196,0.50,70.00,-1245.10,-963.65,-281.45
34,203,0.50,70.00,-1242.95,-963.11,-279.85
35,209,0.50,70.00,-1244.17,-963.65,-280.52
36,213,0.50,70.00,-1246.12,-965.06,-281.05
37,218,0.50,70.00,-1246.70,-964.24,-282.46
38,223,0.50,70.00,-1253.02,-962.60,-290.42
39,228,0.50,70.00,-1252.22,-962.27,-289.95
40,233,0.50,70.00,-1252.56,-962.98,-289.58
41,238,0.50,70.00,-1250.88,-962.57,-288.31
42,242,0.50,70.00,-1250.51,-962.24,-288.26
43,248,0.50,70.00,-1250.21,-961.98,-288.23
44,253,0.50,70.00,-1249.00,-962.75,-286.25
45,258,0.50,70.00,-1248.02,-962.39,-285.64
46,265,0.50,70.00,-1248.22,-961.12,-287.10
47,270,0.50,70.00,-1248.38,-962.06,-286.32
48,274,0.50,70.00,-1248.51,-962.81,-285.70
49,279,0.50,70.00,-1248.61,-962.44,-286.18
50,284,0.50,70.00,-1254.56,-962.14,-292.42
51,289,0.50,70.00,-1253.45,-961.90,-291.55
52,295,0.50,70.00,-1250.61,-961.71,-288.91
53,300,0.50,70.00,-1248.34,-960.58,-287.76
54,305,0.50,70.00,-1248.48,-959.67,-288.81
55,309,0.50,70.00,-1246.63,-959.92,-286.71
56,314,0.50,70.00,-1245.16,-961.10,-284.05
57,322,0.50,70.00,-1245.93,-961.07,-284.86
58,326,0.50,70.00,-1244.60,-960.07,-284.53
59,331,0.50,70.00,-1244.51,-961.22,-283.29
60,337,0.50,70.00,-1237.60,-962.14,-275.46
61,342,0.50,70.00,-1238.91,-961.90,-277.01
62,346,0.50,70.00,-1241.91,-960.73,-281.18
63,351,0.50,70.00,-1241.38,-960.77,-280.60
64,356,0.50,70.00,-1240.95,-960.80,-280.15
65,361,0.50,70.00,-1241.59,-960.83,-280.76
66,366,0.50,70.00,-1242.10,-959.88,-282.22
67,371,0.50,70.00,-1241.53,-960.09,-281.44
68,376,0.50,70.00,-1240.10,-963.19,-276.91
69,383,0.50,70.00,-1240.91,-961.76,-279.15
70,388,0.50,70.00,-1237.65,-961.60,-276.05
71,393,0.50,70.00,-1237.97,-962.44,-275.53
72,398,0.50,70.00,-1239.20,-962.14,-277.06
73,403,0.50,70.00,-1241.17,-960.92,-280.25
74,408,0.50,70.00,-1243.72,-958.97,-284.74
75,412,0.50,70.00,-1244.78,-957.41,-287.36
76,417,0.50,70.00,-1243.67,-958.12,-285.56
77,423,0.50,70.00,-1243.77,-957.71,-286.06
78,428,0.50,70.00,-1241.89,-958.35,-283.54
79,433,0.50,70.00,-1242.34,-958.87,-283.47
80,438,0.50,70.00,-1240.75,-959.28,-281.46
81,445,0.50,70.00,-1241.43,-958.64,-282.79
82,449,0.50,70.00,-1242.94,-963.98,-278.96
83,454,0.50,70.00,-1242.21,-963.37,-278.84
84,459,0.50,70.00,-1242.59,-963.86,-278.73
85,465,0.50,70.00,-1243.88,-963.28,-280.60
86,470,0.50,70.00,-1244.91,-967.69,-277.22
87,475,0.50,70.00,-1244.76,-968.29,-276.46
88,480,0.50,70.00,-1245.61,-967.80,-277.81
89,484,0.50,70.00,-1246.29,-966.43,-279.86
90,489,0.50,70.00,-1244.89,-965.33,-279.56
91,494,0.50,70.00,-1244.74,-965.43,-279.31
92,501,0.50,70.00,-1244.62,-965.51,-279.11
93,507,0.50,70.00,-1242.57,-964.59,-277.98
94,541,0.50,70.00,-1243.86,-964.84,-279.02
95,547,0.50,70.00,-1244.89,-964.06,-280.83
96,551,0.50,70.00,-1245.72,-965.39,-280.33
97,556,0.50,70.00,-1245.40,-965.47,-279.93
98,561,0.50,70.00,-1246.13,-964.57,-281.56
99,566,0.50,70.00,-1247.68,-963.84,-283.84
100,571,0.50,70.00,-1247.95,-965.21,-282.74
101,576,0.50,70.00,-1248.17,-965.33,-282.83
102,580,0.50,70.00,-1248.34,-964.46,-283.88
103,585,0.50,70.00,-1248.47,-963.75,-284.72
104,593,0.50,70.00,-1247.61,-964.17,-283.44
105,598,0.50,70.00,-1247.89,-964.50,-283.39
106,603,0.50,70.00,-1248.12,-963.78,-284.33
107,608,0.50,70.00,-1248.30,-962.24,-286.06
108,613,0.50,70.00,-1248.44,-962.96,-285.49
109,617,0.50,70.00,-1248.56,-963.53,-285.03
110,622,0.50,70.00,-1248.65,-963.01,-285.64
111,627,0.50,70.00,-1248.73,-962.60,-286.13
112,633,0.50,70.00,-1248.79,-963.24,-285.55
113,638,0.50,70.00,-1248.83,-962.78,-286.05
114,642,0.50,70.00,-1248.87,-962.41,-286.46
115,649,0.50,70.00,-1248.90,-962.12,-286.79
116,654,0.50,70.00,-1247.95,-962.86,-285.09
117,659,0.50,70.00,-1248.16,-962.47,-285.69
118,664,0.50,70.00,-1248.34,-961.19,-287.15
119,669,0.50,70.00,-1248.47,-962.12,-286.36
120,673,0.50,70.00,-1246.63,-962.86,-283.77
121,679,0.50,70.00,-1247.11,-961.50,-285.61
122,684,0.50,70.00,-1247.49,-960.41,-287.08
123,689,0.50,70.00,-1247.80,-960.51,-287.28
124,694,0.50,70.00,-1247.07,-961.58,-285.49
125,699,0.50,70.00,-1247.46,-961.45,-286.01
126,703,0.50,70.00,-1247.77,-961.35,-286.43
127,710,0.50,70.00,-1242.16,-961.26,-280.90
128,715,0.50,70.00,-1241.58,-962.18,-279.41
129,721,0.50,70.00,-1246.00,-963.88,-282.12
130,726,0.50,70.00,-1246.60,-963.29,-283.31
