#, ElapsedTime[ms], Freq[Hz], Duty[%], Pres1[Pa], Pres2[Pa], Pres_diff[Pa]
0,0,1.00,75.00,2322.89,2563.60,-240.71
1,36,1.00,75.00,2322.38,2562.80,-240.42
2,41,1.00,75.00,2320.01,2562.15,-242.14
3,46,1.00,75.00,2318.12,2561.64,-243.52
4,51,1.00,75.00,2316.60,2561.22,-244.62
5,56,1.00,75.00,2315.39,2560.89,-245.50
6,60,1.00,75.00,2317.35,2560.63,-243.27
7,65,1.00,75.00,2316.97,2560.42,-243.45
8,71,1.00,75.00,2315.68,2560.25,-244.56
9,76,1.00,75.00,2314.66,2560.11,-245.46
10,81,1.00,75.00,2313.83,2560.00,-246.17
11,107,1.00,75.00,2314.15,2560.89,-246.74
12,113,1.00,75.00,2314.41,2562.58,-248.17
13,118,1.00,75.00,2313.64,2562.96,-249.32
14,123,1.00,75.00,2313.99,2562.28,-248.28
15,127,1.00,75.00,2312.33,2562.71,-250.39
16,132,1.00,75.00,2311.97,2563.06,-251.09
17,137,1.00,75.00,2311.69,2563.34,-251.65
18,142,1.00,75.00,2313.41,2563.56,-250.15
19,147,1.00,75.00,2313.82,2563.74,-249.93
20,153,1.00,75.00,2314.14,2563.88,-249.75
21,158,1.00,75.00,2315.37,2564.00,-248.62
22,162,1.00,75.00,2316.36,2564.09,-247.73
23,170,1.00,75.00,2317.15,2564.16,-247.01
24,174,1.00,75.00,2317.78,2564.22,-246.44
25,179,1.00,75.00,2317.31,2564.27,-246.95
26,184,1.00,75.00,2316.94,2564.30,-247.37
27,189,1.00,75.00,2315.66,2564.33,-248.68
28,195,1.00,75.00,2315.61,2564.36,-248.75
29,199,1.00,75.00,2314.60,2564.38,-249.78
30,204,1.00,75.00,2313.79,2564.39,-250.60
31,209,1.00,75.00,2313.14,2564.40,-251.26
32,214,1.00,75.00,2313.60,2564.41,-250.82
33,219,1.00,75.00,2313.96,2563.45,-249.48
34,224,1.00,75.00,2317.19,2562.67,-245.48
35,231,1.00,75.00,2316.84,2563.03,-246.19
36,236,1.00,75.00,2316.55,2562.34,-245.78
37,241,1.00,75.00,2317.31,2562.76,-245.45
38,246,1.00,75.00,2317.91,2562.12,-244.21
39,251,1.00,75.00,2318.39,2561.61,-243.22
40,256,1.00,75.00,2318.77,2557.30,-238.52
41,261,1.00,75.00,2319.08,2557.75,-238.67
42,266,1.00,75.00,2319.33,2558.12,-238.79
43,271,1.00,75.00,2318.55,2558.41,-239.86
44,275,1.00,75.00,2317.92,2558.64,-240.71
45,281,1.00,75.00,2318.40,2558.83,-240.42
46,286,1.00,75.00,2318.78,2558.97,-240.19
47,293,1.00,75.00,2319.09,2560.07,-240.98
48,298,1.00,75.00,2319.33,2559.97,-240.64
49,303,1.00,75.00,2319.53,2560.87,-241.34
50,308,1.00,75.00,2316.76,2560.61,-243.85
51,312,1.00,75.00,2317.47,2560.40,-242.93
52,318,1.00,75.00,2317.06,2560.23,-243.17
53,323,1.00,75.00,2316.73,2560.10,-243.37
54,328,1.00,75.00,2315.50,2560.00,-244.50
55,333,1.00,75.00,2316.46,2559.91,-243.45
56,338,1.00,75.00,2317.23,2559.84,-242.61
57,343,1.00,75.00,2317.85,2559.79,-241.94
58,347,1.00,75.00,2317.36,2559.74,-242.38
59,355,1.00,75.00,2317.95,2559.71,-241.76
60,359,1.00,75.00,2317.45,2559.68,-242.23
61,364,1.00,75.00,2318.02,2559.66,-241.64
62,370,1.00,75.00,2318.48,2559.64,-241.16
63,375,1.00,75.00,2317.87,2559.63,-241.76
64,380,1.00,75.00,2318.36,2559.62,-241.26
65,385,1.00,75.00,2317.77,2559.61,-241.83
