#, ElapsedTime[ms], Freq[Hz], Duty[%], Pres1[Pa], Pres2[Pa], Pres_diff[Pa]
0,0,0.50,75.00,1978.12,2605.57,-627.45
1,34,0.50,75.00,1979.17,2605.16,-625.99
2,39,0.50,75.00,1980.02,2604.83,-624.81
3,44,0.50,75.00,1979.72,2604.57,-624.85
4,49,0.50,75.00,1979.48,2603.38,-623.90
5,54,0.50,75.00,1979.29,2602.43,-623.15
6,59,0.50,75.00,1979.13,2601.67,-622.54
7,64,0.50,75.00,1979.01,2601.06,-622.06
8,69,0.50,75.00,1978.91,2600.58,-621.67
9,74,0.50,75.00,1978.83,2600.19,-621.36
10,78,0.50,75.00,1978.77,2600.85,-622.09
11,85,0.50,75.00,1978.72,2600.41,-621.69
12,91,0.50,75.00,1978.68,2601.03,-622.35
13,96,0.50,75.00,1978.64,2600.55,-621.91
14,101,0.50,75.00,1978.62,2601.14,-622.53
15,106,0.50,75.00,1978.60,2600.64,-622.04
16,110,0.50,75.00,1978.58,2601.22,-622.64
17,115,0.50,75.00,1978.57,2600.70,-622.13
18,120,0.50,75.00,1977.58,2601.26,-623.68
19,125,0.50,75.00,1977.77,2600.74,-622.97
20,130,0.50,75.00,1977.92,2601.29,-623.38
21,135,0.50,75.00,1978.04,2601.74,-623.70
22,140,0.50,75.00,1978.13,2602.09,-623.96
23,147,0.50,75.00,1978.21,2601.40,-623.19
24,152,0.50,75.00,1979.25,2601.82,-622.58
25,157,0.50,75.00,1979.10,2602.16,-623.06
26,162,0.50,75.00,1978.98,2603.41,-624.43
27,167,0.50,75.00,1978.89,2602.45,-623.56
28,172,0.50,75.00,1976.86,2603.64,-626.78
29,177,0.50,75.00,1978.17,2603.62,-625.45
30,182,0.50,75.00,1978.24,2603.60,-625.36
31,187,0.50,75.00,1979.27,2602.60,-623.33
32,192,0.50,75.00,1979.12,2602.79,-623.67
33,197,0.50,75.00,1979.00,2599.03,-620.03
34,201,0.50,75.00,1978.90,2600.90,-622.00
35,208,0.50,75.00,1979.80,2601.42,-621.62
36,213,0.50,75.00,1979.54,2601.84,-622.30
37,219,0.50,75.00,1980.31,2602.18,-621.86
38,224,0.50,75.00,1981.91,2601.47,-619.56
39,229,0.50,75.00,1982.21,2600.90,-618.70
40,233,0.50,75.00,1982.44,2601.42,-618.98
