#, ElapsedTime[ms], Freq[Hz], Duty[%], Pres1[Pa], Pres2[Pa], Pres_diff[Pa]
0,0,0.50,65.00,6.82,-142.30,149.12
1,34,0.50,65.00,5.65,-144.90,150.55
2,39,0.50,65.00,3.74,-146.97,150.71
3,43,0.50,65.00,2.21,-148.63,150.84
4,48,0.50,65.00,0.99,-149.96,150.95
5,53,0.50,65.00,0.01,-150.05,150.05
6,59,0.50,65.00,1.18,-151.09,152.27
7,64,0.50,65.00,1.14,-150.95,152.09
8,69,0.50,65.00,-0.85,-151.82,150.97
9,74,0.50,65.00,-1.46,-151.53,150.07
10,78,0.50,65.00,-1.95,-152.28,150.33
11,83,0.50,65.00,-2.34,-153.85,151.51
12,121,0.50,65.00,-1.68,-154.14,152.46
13,126,0.50,65.00,-1.15,-153.39,152.24
14,131,0.50,65.00,0.25,-152.79,153.04
15,136,0.50,65.00,1.38,-152.31,153.69
16,142,0.50,65.00,0.32,-151.93,152.25
17,147,0.50,65.00,0.45,-151.62,152.07
18,151,0.50,65.00,-0.42,-151.37,150.95
19,156,0.50,65.00,-1.12,-151.18,150.06
20,161,0.50,65.00,-1.68,-151.02,149.34
21,166,0.50,65.00,-0.17,-150.89,150.73
22,171,0.50,65.00,-0.92,-150.79,149.88
23,176,0.50,65.00,0.44,-150.71,151.15
24,180,0.50,65.00,0.55,-150.65,151.19
25,188,0.50,65.00,-0.34,-150.60,150.25
26,193,0.50,65.00,-1.06,-150.56,149.50
27,198,0.50,65.00,-1.63,-150.52,148.90
28,203,0.50,65.00,-5.01,-150.50,145.48
29,207,0.50,65.00,-2.84,-150.48,147.64
30,212,0.50,65.00,-3.05,-150.46,147.41
31,217,0.50,65.00,-3.22,-150.44,147.22
32,222,0.50,65.00,-3.36,-150.43,147.07
33,228,0.50,65.00,-2.49,-150.43,147.93
34,233,0.50,65.00,-2.77,-150.42,147.64
35,238,0.50,65.00,-2.02,-150.41,148.39
36,242,0.50,65.00,-1.42,-150.41,148.98
37,247,0.50,65.00,0.03,-150.40,150.44
38,254,0.50,65.00,0.22,-150.40,150.62
39,259,0.50,65.00,0.37,-152.35,152.73
40,264,0.50,65.00,-0.48,-152.94,152.45
41,269,0.50,65.00,-0.19,-152.43,152.24
42,274,0.50,65.00,0.04,-152.02,152.06
43,279,0.50,65.00,0.23,-151.69,151.92
44,284,0.50,65.00,1.36,-152.41,153.77
45,289,0.50,65.00,2.26,-152.98,155.24
46,294,0.50,65.00,2.00,-152.46,154.46
47,298,0.50,65.00,1.80,-149.12,150.92
48,303,0.50,65.00,1.63,-149.37,151.01
49,308,0.50,65.00,2.48,-150.55,153.03
50,314,0.50,65.00,1.20,-150.52,151.72
51,321,0.50,65.00,2.13,-150.50,152.63
52,326,0.50,65.00,2.88,-145.59,148.47
53,330,0.50,65.00,3.47,-146.55,150.03
54,335,0.50,65.00,4.93,-148.30,153.22
55,340,0.50,65.00,5.11,-149.69,154.81
56,345,0.50,65.00,5.26,-150.81,156.07
57,350,0.50,65.00,5.38,-151.70,157.08
58,356,0.50,65.00,5.48,-151.44,156.92
59,360,0.50,65.00,1.65,-151.23,152.88
60,365,0.50,65.00,3.47,-151.06,154.53
61,370,0.50,65.00,3.95,-148.97,152.92
62,375,0.50,65.00,4.33,-146.33,150.66
63,380,0.50,65.00,4.63,-144.21,148.84
64,387,0.50,65.00,5.86,-142.52,148.37
65,391,0.50,65.00,5.86,-141.16,147.02
66,397,0.50,65.00,6.83,-140.08,146.91
67,402,0.50,65.00,7.62,-141.16,148.78
68,407,0.50,65.00,8.24,-142.03,150.27
69,412,0.50,65.00,9.72,-140.77,150.49
70,417,0.50,65.00,9.92,-139.77,149.69
71,421,0.50,65.00,8.13,-139.94,148.07
72,426,0.50,65.00,7.68,-139.10,146.78
73,431,0.50,65.00,7.31,-138.43,145.74
74,436,0.50,65.00,7.02,-137.89,144.91
75,442,0.50,65.00,6.79,-138.44,145.23
76,447,0.50,65.00,7.58,-142.78,150.36
77,453,0.50,65.00,9.19,-138.44,147.63
78,458,0.50,65.00,9.50,-137.90,147.40
79,463,0.50,65.00,10.73,-137.47,148.20
80,468,0.50,65.00,10.73,-137.13,147.85
81,473,0.50,65.00,10.73,-136.85,147.58
82,478,0.50,65.00,11.71,-136.63,148.34
83,484,0.50,65.00,11.52,-136.45,147.97
84,488,0.50,65.00,12.34,-138.26,150.60
85,493,0.50,65.00,13.00,-138.73,151.73
86,498,0.50,65.00,12.54,-140.09,152.63
87,503,0.50,65.00,12.18,-142.15,154.33
88,508,0.50,65.00,12.87,-142.82,155.69
89,542,0.50,65.00,13.42,-143.36,156.78
90,548,0.50,65.00,12.89,-142.81,155.70
91,553,0.50,65.00,13.43,-142.37,155.81
92,558,0.50,65.00,13.87,-142.02,155.90
93,563,0.50,65.00,13.25,-142.72,155.97
94,569,0.50,65.00,12.75,-143.28,156.02
95,573,0.50,65.00,11.37,-142.75,154.12
96,578,0.50,65.00,10.27,-143.30,153.57
97,583,0.50,65.00,9.39,-143.74,153.13
98,588,0.50,65.00,8.68,-143.12,151.80
99,593,0.50,65.00,8.12,-142.62,150.74
100,598,0.50,65.00,7.66,-142.22,149.89
101,602,0.50,65.00,7.30,-142.88,150.18
102,607,0.50,65.00,7.01,-143.40,150.42
103,615,0.50,65.00,6.78,-142.85,149.63
104,620,0.50,65.00,2.69,-142.40,145.10
105,625,0.50,65.00,4.30,-142.05,146.35
106,629,0.50,65.00,4.61,-143.72,148.33
107,634,0.50,65.00,4.86,-143.10,147.96
108,639,0.50,65.00,5.06,-144.56,149.62
109,644,0.50,65.00,5.22,-144.75,149.97
110,649,0.50,65.00,5.35,-143.92,149.27
111,655,0.50,65.00,4.47,-143.26,147.74
112,660,0.50,65.00,4.75,-144.69,149.44
113,664,0.50,65.00,5.95,-143.88,149.83
114,669,0.50,65.00,5.93,-143.23,149.16
115,674,0.50,65.00,5.92,-142.71,148.62
116,681,0.50,65.00,5.91,-142.29,148.20
117,686,0.50,65.00,5.90,-141.96,147.85
118,690,0.50,65.00,5.89,-141.69,147.58
119,696,0.50,65.00,5.88,-141.48,147.36
120,701,0.50,65.00,3.93,-142.28,146.21
121,706,0.50,65.00,1.38,-141.95,143.33
122,711,0.50,65.00,0.32,-141.69,142.01
123,716,0.50,65.00,1.43,-141.47,142.91
124,720,0.50,65.00,2.32,-141.30,143.62
125,726,0.50,65.00,4.00,-141.17,145.17
126,730,0.50,65.00,4.37,-143.01,147.39
127,735,0.50,65.00,4.67,-144.49,149.16
128,741,0.50,65.00,4.91,-145.67,150.58
129,748,0.50,65.00,6.08,-145.64,151.71
130,752,0.50,65.00,6.03,-144.63,150.67
131,757,0.50,65.00,6.00,-144.81,150.81
132,762,0.50,65.00,5.97,-144.95,150.92
133,767,0.50,65.00,5.95,-146.04,151.98
134,772,0.50,65.00,5.93,-145.93,151.86
135,777,0.50,65.00,5.92,-146.82,152.74
136,782,0.50,65.00,5.90,-147.54,153.44
137,787,0.50,65.00,5.90,-147.13,153.03
138,792,0.50,65.00,5.89,-147.78,153.67
139,797,0.50,65.00,5.88,-148.30,154.19
140,802,0.50,65.00,5.88,-148.72,154.60
141,808,0.50,65.00,6.85,-149.06,155.91
142,813,0.50,65.00,6.65,-149.32,155.97
143,818,0.50,65.00,7.47,-149.54,157.01
144,824,0.50,65.00,8.12,-149.71,157.83
145,829,0.50,65.00,8.65,-149.84,158.49
146,834,0.50,65.00,9.07,-148.98,158.04
147,838,0.50,65.00,8.43,-148.28,156.71
148,843,0.50,65.00,7.91,-146.75,154.66
149,848,0.50,65.00,7.50,-144.55,152.05
150,853,0.50,65.00,7.17,-143.76,150.94
151,858,0.50,65.00,7.89,-143.14,151.02
152,863,0.50,65.00,8.46,-142.63,151.09
153,868,0.50,65.00,7.94,-141.26,149.19
154,875,0.50,65.00,8.50,-141.13,149.63
155,880,0.50,65.00,7.97,-141.03,149.00
156,885,0.50,65.00,7.55,-139.97,147.52
157,890,0.50,65.00,8.19,-140.10,148.29
158,895,0.50,65.00,9.67,-140.21,149.88
159,899,0.50,65.00,9.89,-140.29,150.18
160,904,0.50,65.00,9.08,-140.36,149.44
161,910,0.50,65.00,9.41,-140.41,149.83
162,915,0.50,65.00,8.70,-139.48,148.18
163,920,0.50,65.00,8.13,-139.71,147.84
164,925,0.50,65.00,9.63,-139.89,149.52
165,929,0.50,65.00,10.83,-143.94,154.77
166,934,0.50,65.00,10.81,-143.28,154.09
167,941,0.50,65.00,11.78,-142.75,154.52
168,946,0.50,65.00,12.55,-142.32,154.87
169,952,0.50,65.00,12.18,-141.98,154.17
170,957,0.50,65.00,12.87,-141.71,154.59
171,962,0.50,65.00,12.45,-141.50,153.94
172,967,0.50,65.00,13.08,-141.32,154.40
173,971,0.50,65.00,12.61,-141.18,153.80
174,976,0.50,65.00,12.24,-141.07,153.31
175,981,0.50,65.00,12.92,-140.98,153.90
176,986,0.50,65.00,13.46,-140.91,154.37
177,991,0.50,65.00,12.92,-140.85,153.77
178,996,0.50,65.00,12.48,-139.83,152.31
179,1003,0.50,65.00,13.11,-139.99,153.10
180,1008,0.50,65.00,12.64,-139.14,151.78
181,1013,0.50,65.00,13.23,-138.46,151.69
182,1018,0.50,65.00,13.71,-138.89,152.61
183,1023,0.50,65.00,13.12,-139.24,152.36
184,1028,0.50,65.00,12.64,-139.52,152.16
185,1032,0.50,65.00,13.24,-139.74,152.98
186,1038,0.50,65.00,12.74,-139.92,152.66
187,1043,0.50,65.00,12.34,-140.06,152.40
188,1048,0.50,65.00,13.00,-140.17,153.17
189,1053,0.50,65.00,12.55,-140.26,152.81
190,1058,0.50,65.00,11.21,-140.33,151.54
191,1062,0.50,65.00,11.12,-144.30,155.41
192,1069,0.50,65.00,11.04,-143.56,154.60
193,1074,0.50,65.00,10.98,-142.00,152.98
194,1080,0.50,65.00,10.93,-141.72,152.66
195,1084,0.50,65.00,10.90,-142.48,153.38
196,1089,0.50,65.00,10.86,-142.11,152.97
197,1094,0.50,65.00,7.91,-141.81,149.72
198,1099,0.50,65.00,7.50,-141.58,149.08
199,1104,0.50,65.00,9.13,-141.39,150.51
200,1109,0.50,65.00,9.45,-141.23,150.68
201,1113,0.50,65.00,8.73,-141.11,149.84
202,1118,0.50,65.00,8.16,-141.01,149.17
203,1124,0.50,65.00,7.70,-139.96,147.66
204,1131,0.50,65.00,7.33,-140.09,147.42
205,1136,0.50,65.00,8.01,-139.22,147.23
206,1140,0.50,65.00,8.56,-139.50,148.06
207,1145,0.50,65.00,8.99,-139.73,148.72
208,1150,0.50,65.00,8.37,-139.91,148.27
209,1155,0.50,65.00,8.84,-140.05,148.89
210,1160,0.50,65.00,8.25,-140.17,148.41
211,1166,0.50,65.00,7.77,-139.28,147.05
212,1170,0.50,65.00,7.39,-139.55,146.94
213,1175,0.50,65.00,7.08,-139.76,146.85
214,1180,0.50,65.00,6.84,-139.94,146.77
215,1185,0.50,65.00,8.59,-140.07,148.67
216,1192,0.50,65.00,8.05,-140.18,148.23
217,1197,0.50,65.00,7.61,-139.30,146.91
218,1202,0.50,65.00,7.26,-139.56,146.82
219,1206,0.50,65.00,8.93,-139.77,148.71
220,1212,0.50,65.00,10.27,-139.94,150.22
221,1217,0.50,65.00,10.37,-140.08,150.45
222,1222,0.50,65.00,11.42,-141.17,152.58
223,1227,0.50,65.00,11.28,-141.06,152.34
224,1231,0.50,65.00,10.20,-140.97,151.17
225,1236,0.50,65.00,10.31,-144.81,155.11
226,1241,0.50,65.00,9.42,-144.95,154.37
227,1246,0.50,65.00,9.68,-144.08,153.77
228,1252,0.50,65.00,9.89,-143.39,153.29
229,1259,0.50,65.00,10.06,-142.84,152.90
230,1264,0.50,65.00,10.20,-143.37,153.57
231,1269,0.50,65.00,7.38,-142.82,150.20
232,1273,0.50,65.00,7.07,-142.38,149.46
233,1278,0.50,65.00,6.83,-142.03,148.86
234,1283,0.50,65.00,7.61,-141.75,149.36
235,1288,0.50,65.00,8.24,-141.53,149.76
236,1294,0.50,65.00,7.76,-141.35,149.11
237,1299,0.50,65.00,7.38,-141.20,148.58
238,1304,0.50,65.00,7.08,-143.04,150.12
239,1308,0.50,65.00,9.76,-142.56,152.32
240,1313,0.50,65.00,9.96,-142.17,152.13
241,1320,0.50,65.00,10.12,-142.84,152.95
242,1325,0.50,65.00,10.24,-142.40,152.64
243,1330,0.50,65.00,9.36,-142.04,151.41
244,1336,0.50,65.00,9.64,-141.76,151.40
245,1341,0.50,65.00,9.86,-141.53,151.39
246,1346,0.50,65.00,10.04,-141.35,151.39
