#, ElapsedTime[ms], Freq[Hz], Duty[%], Pres1[Pa], Pres2[Pa], Pres_diff[Pa]
0,0,0.50,50.04,-493.13,-629.20,136.07
1,32,0.50,50.04,-492.94,-629.14,136.20
2,37,0.50,50.04,-492.79,-625.19,132.40
3,42,0.50,50.04,-492.67,-625.93,133.26
4,47,0.50,50.04,-492.57,-626.53,133.95
5,52,0.50,50.04,-492.50,-627.00,134.51
6,57,0.50,50.04,-492.43,-627.38,134.95
7,62,0.50,50.04,-492.39,-627.69,135.30
8,67,0.50,50.04,-493.32,-627.93,134.61
9,72,0.50,50.04,-494.07,-628.13,134.05
10,76,0.50,50.04,-494.67,-628.28,133.61
11,83,0.50,50.04,-494.17,-627.43,133.26
12,88,0.50,50.04,-493.78,-627.73,133.95
13,93,0.50,50.04,-493.46,-627.96,134.50
14,98,0.50,50.04,-495.16,-628.15,132.99
15,103,0.50,50.04,-494.56,-628.30,133.74
16,108,0.50,50.04,-495.07,-628.42,133.36
17,113,0.50,50.04,-494.49,-629.50,135.01
18,118,0.50,50.04,-494.03,-629.38,135.35
19,122,0.50,50.04,-493.66,-629.28,135.62
20,127,0.50,50.04,-495.32,-629.21,133.89
21,133,0.50,50.04,-497.62,-629.15,131.53
22,138,0.50,50.04,-496.54,-629.10,132.56
23,143,0.50,50.04,-494.69,-629.06,134.37
24,149,0.50,50.04,-494.19,-629.03,134.84
25,154,0.50,50.04,-493.79,-629.01,135.22
26,159,0.50,50.04,-493.47,-628.99,135.52
27,164,0.50,50.04,-495.17,-628.97,133.80
28,169,0.50,50.04,-494.57,-628.96,134.39
29,173,0.50,50.04,-494.09,-628.95,134.85
30,179,0.50,50.04,-493.71,-628.94,135.23
31,184,0.50,50.04,-493.41,-628.93,135.52
32,189,0.50,50.04,-494.14,-628.93,134.79
33,194,0.50,50.04,-493.75,-628.92,135.17
34,199,0.50,50.04,-493.44,-628.92,135.48
35,203,0.50,50.04,-493.19,-628.92,135.73
36,210,0.50,50.04,-492.99,-628.91,135.93
37,215,0.50,50.04,-492.83,-628.91,136.09
38,221,0.50,50.04,-492.70,-628.91,136.21
39,225,0.50,50.04,-493.57,-628.91,135.34
40,230,0.50,50.04,-494.27,-628.91,134.64
41,235,0.50,50.04,-494.83,-628.91,134.08
42,240,0.50,50.04,-494.30,-628.91,134.61
43,245,0.50,50.04,-494.86,-628.91,134.05
44,249,0.50,50.04,-494.32,-628.91,134.58
45,254,0.50,50.04,-493.90,-628.91,135.01
46,259,0.50,50.04,-493.55,-628.91,135.35
47,265,0.50,50.04,-493.28,-628.91,135.63
48,271,0.50,50.04,-493.06,-628.91,135.84
49,276,0.50,50.04,-494.84,-628.91,134.07
50,281,0.50,50.04,-494.31,-628.91,134.60
51,286,0.50,50.04,-493.89,-628.91,135.02
52,291,0.50,50.04,-494.52,-628.91,134.38
53,296,0.50,50.04,-494.06,-628.91,134.85
54,300,0.50,50.04,-493.68,-628.91,135.22
55,306,0.50,50.04,-493.38,-628.91,135.52
56,311,0.50,50.04,-493.14,-628.91,135.76
57,316,0.50,50.04,-492.95,-628.91,135.95
58,321,0.50,50.04,-492.80,-628.91,136.11
59,326,0.50,50.04,-491.70,-628.91,137.21
60,332,0.50,50.04,-491.80,-628.91,137.11
61,337,0.50,50.04,-492.85,-628.91,136.05
62,342,0.50,50.04,-492.72,-628.91,136.19
63,348,0.50,50.04,-493.59,-628.91,135.32
64,352,0.50,50.04,-493.31,-628.91,135.60
65,357,0.50,50.04,-493.08,-628.91,135.82
66,362,0.50,50.04,-492.91,-628.91,136.00
67,367,0.50,50.04,-492.76,-628.91,136.14
68,372,0.50,50.04,-492.65,-628.91,136.26
69,377,0.50,50.04,-493.53,-628.91,135.37
70,381,0.50,50.04,-494.24,-628.91,134.67
71,386,0.50,50.04,-494.81,-628.91,134.10
72,394,0.50,50.04,-494.28,-628.91,134.62
73,399,0.50,50.04,-493.86,-628.91,135.04
74,403,0.50,50.04,-493.53,-628.91,135.38
75,408,0.50,50.04,-493.26,-628.91,135.65
76,413,0.50,50.04,-494.02,-628.91,134.88
77,418,0.50,50.04,-494.63,-628.91,134.27
78,423,0.50,50.04,-494.14,-628.91,134.76
79,428,0.50,50.04,-494.73,-628.91,134.18
80,433,0.50,50.04,-495.20,-625.00,129.80
81,438,0.50,50.04,-495.57,-625.78,130.21
82,443,0.50,50.04,-494.89,-626.41,131.51
83,448,0.50,50.04,-495.33,-626.91,131.58
84,453,0.50,50.04,-494.70,-627.31,132.61
85,459,0.50,50.04,-494.20,-627.63,133.43
86,464,0.50,50.04,-493.80,-627.88,134.09
87,469,0.50,50.04,-493.47,-628.09,134.61
88,475,0.50,50.04,-493.22,-628.25,135.03
89,479,0.50,50.04,-493.99,-628.38,134.39
90,484,0.50,50.04,-493.63,-628.49,134.86
91,489,0.50,50.04,-493.34,-628.57,135.23
92,494,0.50,50.04,-495.06,-628.64,133.58
93,499,0.50,50.04,-494.49,-628.69,134.20
94,504,0.50,50.04,-494.03,-628.73,134.71
95,508,0.50,50.04,-492.68,-628.77,136.09
96,513,0.50,50.04,-492.58,-628.80,136.21
97,521,0.50,50.04,-491.53,-628.82,137.29
98,526,0.50,50.04,-491.66,-628.84,137.18
99,530,0.50,50.04,-491.77,-623.97,132.20
