#, ElapsedTime[ms], Freq[Hz], Duty[%], Pres1[Pa], Pres2[Pa], Pres_diff[Pa]
0,0,0.50,50.04,122.36,-544.91,667.27
1,31,0.50,50.04,122.50,-544.13,666.63
2,35,0.50,50.04,122.61,-544.48,667.09
3,41,0.50,50.04,123.67,-545.74,669.42
4,46,0.50,50.04,123.55,-545.77,669.32
5,51,0.50,50.04,122.47,-546.78,669.25
6,56,0.50,50.04,122.59,-547.58,670.16
7,61,0.50,50.04,121.70,-547.24,668.94
8,65,0.50,50.04,121.97,-546.00,667.97
9,70,0.50,50.04,121.21,-546.95,668.16
10,75,0.50,50.04,121.58,-546.74,668.32
11,80,0.50,50.04,121.87,-546.57,668.44
12,125,0.50,50.04,122.11,-546.44,668.54
13,130,0.50,50.04,121.32,-546.33,667.65
14,135,0.50,50.04,120.69,-546.24,666.93
15,140,0.50,50.04,120.18,-546.17,666.36
16,145,0.50,50.04,119.78,-546.12,665.90
17,150,0.50,50.04,119.46,-546.08,665.53
18,154,0.50,50.04,119.20,-546.04,665.24
19,159,0.50,50.04,118.99,-546.01,665.00
20,164,0.50,50.04,118.83,-545.99,664.81
21,170,0.50,50.04,118.69,-545.97,664.66
22,175,0.50,50.04,119.56,-545.96,665.52
23,179,0.50,50.04,120.26,-545.94,666.21
24,186,0.50,50.04,120.82,-545.94,666.75
25,191,0.50,50.04,120.29,-545.93,666.22
26,196,0.50,50.04,120.84,-545.92,666.76
27,200,0.50,50.04,121.28,-545.92,667.20
28,205,0.50,50.04,121.63,-545.91,667.55
29,211,0.50,50.04,120.94,-545.91,666.85
30,216,0.50,50.04,121.36,-546.88,668.25
31,221,0.50,50.04,121.70,-546.69,668.39
32,226,0.50,50.04,120.99,-546.53,667.52
33,230,0.50,50.04,120.43,-546.40,666.83
34,235,0.50,50.04,120.95,-546.30,667.25
35,240,0.50,50.04,121.37,-546.22,667.59
36,245,0.50,50.04,124.63,-545.18,669.82
37,252,0.50,50.04,124.32,-545.32,669.64
38,257,0.50,50.04,124.06,-545.44,669.50
39,262,0.50,50.04,120.93,-546.51,667.44
40,267,0.50,50.04,120.38,-546.39,666.76
41,272,0.50,50.04,118.96,-547.26,666.22
42,277,0.50,50.04,119.78,-546.02,665.79
43,281,0.50,50.04,120.43,-545.99,666.42
44,286,0.50,50.04,119.98,-545.97,665.95
45,291,0.50,50.04,120.59,-546.93,667.53
46,297,0.50,50.04,121.08,-546.73,667.81
47,302,0.50,50.04,121.47,-546.56,668.04
48,307,0.50,50.04,121.79,-546.43,668.22
49,313,0.50,50.04,121.06,-546.32,667.39
50,318,0.50,50.04,120.48,-546.24,666.72
51,323,0.50,50.04,120.02,-546.17,666.19
52,327,0.50,50.04,119.65,-546.12,665.76
53,332,0.50,50.04,119.35,-545.10,664.45
54,338,0.50,50.04,119.11,-545.26,664.37
55,343,0.50,50.04,118.92,-545.38,664.31
56,348,0.50,50.04,118.77,-545.49,664.26
57,353,0.50,50.04,118.65,-546.55,665.20
58,357,0.50,50.04,118.55,-546.42,664.97
59,362,0.50,50.04,118.48,-546.31,664.79
60,367,0.50,50.04,119.39,-546.23,665.62
61,372,0.50,50.04,120.12,-546.16,666.29
62,378,0.50,50.04,120.71,-546.11,666.82
63,384,0.50,50.04,121.17,-545.09,666.27
64,389,0.50,50.04,118.62,-546.23,664.85
65,394,0.50,50.04,119.50,-547.14,666.64
66,399,0.50,50.04,120.21,-546.89,667.10
67,404,0.50,50.04,119.80,-546.69,666.50
68,408,0.50,50.04,119.48,-546.53,666.01
69,413,0.50,50.04,119.21,-547.38,666.60
70,418,0.50,50.04,119.98,-548.06,668.04
71,424,0.50,50.04,119.62,-547.63,667.25
72,429,0.50,50.04,120.30,-547.28,667.59
73,433,0.50,50.04,120.85,-547.98,668.83
74,440,0.50,50.04,120.31,-547.57,667.88
75,445,0.50,50.04,119.88,-547.23,667.12
76,450,0.50,50.04,119.54,-547.94,667.48
77,454,0.50,50.04,118.29,-547.53,665.82
78,459,0.50,50.04,116.31,-546.23,662.54
79,464,0.50,50.04,116.68,-546.16,662.84
80,470,0.50,50.04,116.98,-546.11,663.09
81,475,0.50,50.04,117.21,-546.07,663.28
82,480,0.50,50.04,118.38,-546.03,664.42
83,484,0.50,50.04,119.31,-546.01,665.32
84,489,0.50,50.04,120.06,-545.99,666.05
85,494,0.50,50.04,120.66,-545.97,666.63
86,499,0.50,50.04,121.14,-545.95,667.09
87,505,0.50,50.04,120.54,-545.94,666.48
88,512,0.50,50.04,120.07,-545.93,666.00
89,517,0.50,50.04,120.66,-545.93,666.59
90,522,0.50,50.04,121.14,-546.90,668.04
91,527,0.50,50.04,121.52,-546.70,668.22
92,531,0.50,50.04,121.83,-547.51,669.34
93,536,0.50,50.04,122.07,-547.19,669.26
94,541,0.50,50.04,121.29,-546.93,668.22
95,546,0.50,50.04,120.66,-546.73,667.39
96,552,0.50,50.04,120.16,-547.54,667.70
97,557,0.50,50.04,120.74,-547.21,667.95
98,561,0.50,50.04,120.23,-546.95,667.17
99,568,0.50,50.04,119.81,-546.74,666.55
100,573,0.50,50.04,120.46,-547.55,668.01
101,578,0.50,50.04,120.98,-547.22,668.19
102,582,0.50,50.04,120.41,-546.95,667.37
103,587,0.50,50.04,119.96,-546.74,666.71
104,592,0.50,50.04,119.60,-547.55,667.15
105,598,0.50,50.04,120.29,-547.22,667.51
106,603,0.50,50.04,120.84,-546.96,667.80
107,607,0.50,50.04,120.31,-546.74,667.05
108,612,0.50,50.04,120.86,-547.55,668.41
109,617,0.50,50.04,118.36,-547.22,665.59
110,622,0.50,50.04,118.32,-547.93,666.26
111,628,0.50,50.04,118.29,-547.53,665.82
112,633,0.50,50.04,118.27,-548.18,666.44
113,639,0.50,50.04,118.25,-547.72,665.97
114,644,0.50,50.04,118.23,-547.36,665.59
115,649,0.50,50.04,119.19,-547.07,666.26
116,654,0.50,50.04,119.96,-547.81,667.77
117,658,0.50,50.04,120.58,-547.43,668.01
118,663,0.50,50.04,121.07,-547.12,668.19
119,668,0.50,50.04,121.47,-546.88,668.34
120,673,0.50,50.04,121.78,-547.66,669.44
121,679,0.50,50.04,122.04,-548.28,670.32
122,684,0.50,50.04,122.24,-548.78,671.02
123,692,0.50,50.04,122.40,-548.21,670.61
124,695,0.50,50.04,121.55,-547.74,669.30
125,700,0.50,50.04,120.88,-547.37,668.25
126,705,0.50,50.04,120.33,-546.10,666.44
127,709,0.50,50.04,119.90,-546.06,665.96
128,714,0.50,50.04,120.53,-547.01,667.53
129,719,0.50,50.04,121.03,-546.78,667.82
130,725,0.50,50.04,121.44,-546.61,668.04
131,730,0.50,50.04,121.76,-546.47,668.22
132,735,0.50,50.04,122.02,-546.35,668.37
133,739,0.50,50.04,122.22,-548.21,670.44
134,744,0.50,50.04,124.34,-548.73,673.07
135,749,0.50,50.04,124.08,-549.14,673.22
136,756,0.50,50.04,123.87,-548.49,672.37
137,760,0.50,50.04,122.73,-547.00,669.73
138,766,0.50,50.04,121.82,-546.78,668.59
139,771,0.50,50.04,121.09,-547.58,668.66
140,776,0.50,50.04,121.48,-548.22,669.70
