#, ElapsedTime[ms], Freq[Hz], Duty[%], Pres1[Pa], Pres2[Pa], Pres_diff[Pa]
0,0,0.50,60.00,772.56,91.42,681.15
1,34,0.50,60.00,771.57,87.98,683.59
2,39,0.50,60.00,770.77,86.20,684.57
3,44,0.50,60.00,769.15,84.78,684.37
4,48,0.50,60.00,768.84,82.67,686.17
5,53,0.50,60.00,768.59,80.98,687.61
6,58,0.50,60.00,768.39,77.67,690.71
7,63,0.50,60.00,771.15,76.98,694.17
8,69,0.50,60.00,769.46,76.43,693.03
9,74,0.50,60.00,769.09,75.99,693.10
10,78,0.50,60.00,767.81,76.61,691.20
11,84,0.50,60.00,765.81,77.11,688.70
12,90,0.50,60.00,765.19,76.53,688.66
13,95,0.50,60.00,764.69,77.04,687.64
14,100,0.50,60.00,764.29,77.46,686.83
15,104,0.50,60.00,763.97,78.76,685.21
16,109,0.50,60.00,764.69,77.85,686.84
17,115,0.50,60.00,765.27,78.10,687.17
18,120,0.50,60.00,764.75,78.30,686.45
19,125,0.50,60.00,765.32,78.46,686.86
20,130,0.50,60.00,764.79,78.59,686.20
21,135,0.50,60.00,764.37,77.72,686.66
22,139,0.50,60.00,764.04,77.02,687.02
23,144,0.50,60.00,763.77,77.43,686.34
24,149,0.50,60.00,763.56,76.79,686.76
25,157,0.50,60.00,764.36,77.25,687.11
26,162,0.50,60.00,765.00,77.62,687.38
27,167,0.50,60.00,765.52,77.92,687.60
28,171,0.50,60.00,764.95,77.18,687.78
29,176,0.50,60.00,765.48,78.54,686.94
30,181,0.50,60.00,765.90,78.65,687.25
31,186,0.50,60.00,766.23,79.72,686.52
32,191,0.50,60.00,766.50,79.59,686.91
33,197,0.50,60.00,766.72,79.50,687.22
34,201,0.50,60.00,766.89,79.42,687.47
35,206,0.50,60.00,767.03,79.35,687.67
36,211,0.50,60.00,767.14,78.33,688.81
37,216,0.50,60.00,767.23,78.48,688.74
38,221,0.50,60.00,767.30,79.58,687.71
39,227,0.50,60.00,766.38,80.46,685.91
40,232,0.50,60.00,766.62,80.19,686.43
41,237,0.50,60.00,766.81,79.97,686.84
42,243,0.50,60.00,765.99,80.77,685.21
43,247,0.50,60.00,765.33,80.44,684.89
44,252,0.50,60.00,765.78,81.15,684.63
45,257,0.50,60.00,766.14,80.74,685.40
46,262,0.50,60.00,766.43,81.39,685.04
47,267,0.50,60.00,766.66,80.93,685.73
48,272,0.50,60.00,766.84,80.57,686.28
49,276,0.50,60.00,766.01,80.27,685.74
50,282,0.50,60.00,764.37,81.01,683.36
51,287,0.50,60.00,764.04,80.63,683.40
52,293,0.50,60.00,764.74,80.33,684.42
53,298,0.50,60.00,764.34,80.08,684.25
54,303,0.50,60.00,764.01,79.89,684.12
55,308,0.50,60.00,763.74,79.73,684.02
56,313,0.50,60.00,764.51,79.60,684.91
57,318,0.50,60.00,765.12,80.48,684.65
58,322,0.50,60.00,765.62,81.18,684.44
59,328,0.50,60.00,766.01,80.76,685.24
60,333,0.50,60.00,766.32,80.43,685.89
61,338,0.50,60.00,766.57,80.17,686.41
62,343,0.50,60.00,766.77,79.95,686.82
63,348,0.50,60.00,769.86,80.76,689.11
64,352,0.50,60.00,769.41,79.45,689.96
65,359,0.50,60.00,769.04,78.40,690.64
66,364,0.50,60.00,768.75,79.52,689.23
67,370,0.50,60.00,767.54,78.46,689.08
68,374,0.50,60.00,766.57,78.59,687.98
69,379,0.50,60.00,765.79,79.67,686.13
70,384,0.50,60.00,765.17,80.53,684.64
71,389,0.50,60.00,764.68,80.24,684.43
72,394,0.50,60.00,765.26,80.02,685.24
73,399,0.50,60.00,764.75,79.83,684.91
74,404,0.50,60.00,764.34,80.66,683.67
75,408,0.50,60.00,764.98,80.35,684.63
76,414,0.50,60.00,765.50,78.15,687.36
77,419,0.50,60.00,764.94,78.34,686.60
78,426,0.50,60.00,765.47,78.49,686.98
79,430,0.50,60.00,765.89,77.64,688.25
80,435,0.50,60.00,766.23,77.93,688.30
81,440,0.50,60.00,765.52,77.19,688.33
82,445,0.50,60.00,764.96,77.57,687.39
83,450,0.50,60.00,764.50,76.90,687.60
84,456,0.50,60.00,764.14,77.34,686.80
85,460,0.50,60.00,763.85,77.69,686.16
86,465,0.50,60.00,764.60,78.95,685.65
87,470,0.50,60.00,765.19,78.00,687.19
88,475,0.50,60.00,765.67,78.22,687.45
89,480,0.50,60.00,766.05,78.40,687.65
90,485,0.50,60.00,766.36,78.54,687.82
91,491,0.50,60.00,766.60,78.65,687.95
92,497,0.50,60.00,765.82,78.74,687.08
93,502,0.50,60.00,766.17,78.81,687.36
94,507,0.50,60.00,766.45,78.87,687.58
95,512,0.50,60.00,766.68,77.94,688.74
96,545,0.50,60.00,766.86,78.17,688.69
97,550,0.50,60.00,767.00,77.38,689.62
98,555,0.50,60.00,767.12,77.73,689.39
99,560,0.50,60.00,767.21,78.00,689.21
100,565,0.50,60.00,766.31,79.20,687.11
101,570,0.50,60.00,765.58,80.15,685.43
102,574,0.50,60.00,765.98,78.97,687.02
103,580,0.50,60.00,765.33,78.02,687.31
104,587,0.50,60.00,765.78,78.23,687.54
105,592,0.50,60.00,765.16,78.41,686.75
106,597,0.50,60.00,765.64,78.55,687.10
107,601,0.50,60.00,765.05,78.66,686.40
108,606,0.50,60.00,764.58,79.72,684.86
109,611,0.50,60.00,764.20,79.60,684.61
110,616,0.50,60.00,764.88,79.50,685.38
111,621,0.50,60.00,761.51,79.42,682.09
112,627,0.50,60.00,762.73,79.36,683.37
113,631,0.50,60.00,763.70,77.35,686.34
114,636,0.50,60.00,764.47,76.73,687.75
115,641,0.50,60.00,764.12,77.20,686.92
116,646,0.50,60.00,763.83,77.58,686.25
117,652,0.50,60.00,764.58,77.88,686.70
118,657,0.50,60.00,765.18,78.13,687.05
119,662,0.50,60.00,765.66,78.32,687.34
120,668,0.50,60.00,765.07,80.43,684.64
121,673,0.50,60.00,764.59,80.17,684.43
122,678,0.50,60.00,764.21,79.95,684.26
123,683,0.50,60.00,763.91,79.78,684.13
124,687,0.50,60.00,764.64,79.65,685.00
125,693,0.50,60.00,765.23,79.54,685.69
126,697,0.50,60.00,765.70,79.45,686.25
127,702,0.50,60.00,766.08,80.36,685.72
128,708,0.50,60.00,766.38,80.11,686.27
129,713,0.50,60.00,766.62,79.90,686.71
130,719,0.50,60.00,766.81,79.74,687.06
131,724,0.50,60.00,766.96,79.62,687.35
132,729,0.50,60.00,767.09,79.51,687.57
133,734,0.50,60.00,767.18,79.43,687.75
134,739,0.50,60.00,766.29,79.36,686.92
135,743,0.50,60.00,766.54,79.31,687.23
136,748,0.50,60.00,766.75,79.27,687.48
137,754,0.50,60.00,766.92,79.24,687.68
138,759,0.50,60.00,767.05,79.21,687.84
139,764,0.50,60.00,767.15,76.26,690.90
140,769,0.50,60.00,767.24,76.83,690.41
141,773,0.50,60.00,767.31,77.28,690.03
142,782,0.50,60.00,767.36,77.65,689.72
143,785,0.50,60.00,767.40,77.94,689.47
144,790,0.50,60.00,766.46,78.17,688.29
145,796,0.50,60.00,766.69,78.36,688.33
146,801,0.50,60.00,766.86,78.51,688.36
147,805,0.50,60.00,766.03,79.60,686.43
148,810,0.50,60.00,765.36,77.55,687.82
149,815,0.50,60.00,765.81,77.86,687.95
150,820,0.50,60.00,765.18,78.11,687.08
151,825,0.50,60.00,765.66,79.28,686.38
152,830,0.50,60.00,766.05,79.25,686.80
153,834,0.50,60.00,766.35,79.22,687.14
154,840,0.50,60.00,766.60,79.19,687.40
155,847,0.50,60.00,766.79,80.15,686.64
156,852,0.50,60.00,766.95,78.97,687.99
157,857,0.50,60.00,767.08,78.99,688.08
158,861,0.50,60.00,767.18,79.01,688.16
159,866,0.50,60.00,766.28,80.01,686.27
160,871,0.50,60.00,765.56,79.83,685.74
161,876,0.50,60.00,764.99,79.68,685.31
162,882,0.50,60.00,764.53,80.54,683.99
163,887,0.50,60.00,764.16,80.25,683.91
164,892,0.50,60.00,763.87,79.05,684.82
165,896,0.50,60.00,763.64,79.06,684.58
166,901,0.50,60.00,764.42,79.07,685.36
167,906,0.50,60.00,764.08,79.07,685.00
168,913,0.50,60.00,764.78,78.10,686.68
169,918,0.50,60.00,765.34,78.30,687.04
170,924,0.50,60.00,765.79,78.46,687.32
171,928,0.50,60.00,764.19,78.59,685.60
172,933,0.50,60.00,764.87,78.69,686.18
173,938,0.50,60.00,764.43,78.77,685.66
174,943,0.50,60.00,767.99,78.84,689.15
175,948,0.50,60.00,767.91,77.92,689.99
176,952,0.50,60.00,767.84,77.18,690.67
177,957,0.50,60.00,766.81,76.58,690.23
178,962,0.50,60.00,765.99,76.11,689.88
179,968,0.50,60.00,764.35,76.71,687.65
180,973,0.50,60.00,764.02,76.21,687.81
181,980,0.50,60.00,764.73,76.79,687.94
182,984,0.50,60.00,764.33,78.23,686.10
183,989,0.50,60.00,764.98,78.40,686.57
184,994,0.50,60.00,765.50,78.54,686.95
185,999,0.50,60.00,765.91,78.65,687.26
186,1004,0.50,60.00,765.27,79.72,685.55
187,1010,0.50,60.00,765.73,79.60,686.13
188,1014,0.50,60.00,766.10,79.50,686.60
189,1019,0.50,60.00,765.42,78.44,686.98
190,1024,0.50,60.00,764.87,78.57,686.30
191,1029,0.50,60.00,763.46,77.70,685.76
192,1034,0.50,60.00,764.29,77.01,687.28
193,1042,0.50,60.00,764.94,76.45,688.50
194,1045,0.50,60.00,765.47,76.98,688.49
195,1051,0.50,60.00,765.89,77.40,688.49
196,1056,0.50,60.00,766.23,76.77,689.46
197,1061,0.50,60.00,765.52,76.26,689.27
198,1066,0.50,60.00,764.96,76.83,688.13
199,1071,0.50,60.00,764.50,77.28,687.22
200,1076,0.50,60.00,765.12,76.67,688.45
201,1080,0.50,60.00,764.63,76.18,688.46
202,1085,0.50,60.00,765.22,77.74,687.48
203,1090,0.50,60.00,764.72,77.04,687.68
204,1096,0.50,60.00,764.31,74.52,689.79
205,1101,0.50,60.00,763.99,74.46,689.53
206,1108,0.50,60.00,764.71,75.39,689.32
207,1113,0.50,60.00,763.33,75.15,688.17
208,1117,0.50,60.00,763.20,74.97,688.24
209,1122,0.50,60.00,762.12,75.79,686.33
210,1127,0.50,60.00,761.26,75.48,685.78
211,1132,0.50,60.00,760.57,75.23,685.35
212,1138,0.50,60.00,761.00,75.02,685.97
213,1143,0.50,60.00,761.34,74.86,686.47
214,1148,0.50,60.00,761.61,74.73,686.87
215,1152,0.50,60.00,760.85,74.63,686.22
216,1157,0.50,60.00,760.24,74.55,685.69
217,1162,0.50,60.00,759.76,74.48,685.27
218,1170,0.50,60.00,759.37,74.43,684.94
