position,u_mean,u_rms
30.012500,-5.491921,11.229309
30.992500,-5.401353,11.102385
31.972500,-5.922690,11.726389
32.952500,-5.580967,11.450033
33.932500,-5.209562,11.231853
34.912500,-5.717961,11.648334
35.892500,-5.726333,12.564054
36.872500,-5.204235,14.538949
37.852500,-5.730138,12.546775
38.832500,-5.722527,11.898914
39.812500,-5.880070,24.573451
40.792500,-5.469089,26.437501
41.772500,-5.364822,14.677497
42.752500,-4.567215,11.394590
43.732500,-4.113614,11.132625
44.712500,-3.285563,11.288537
45.692500,-2.793147,11.582742
46.672500,-1.943026,11.952660
47.652500,-1.479531,25.308700
48.632500,-0.230606,36.263267
49.612500,0.353900,5.746758
50.592500,-0.076108,4.274616
51.572500,0.024354,6.914211
52.552500,0.303669,23.421387
53.532500,1.098232,52.889996
54.512500,1.766456,60.773334
55.492500,2.268766,55.176042
56.472500,3.042780,52.245915
57.452500,2.665287,50.400606
58.432500,2.300732,48.716592
59.412500,2.447619,46.534430
60.392500,1.701004,45.493037
61.372500,1.997823,44.101548
62.352500,2.059471,42.908569
63.332500,2.211686,41.718523
64.312500,2.170588,40.716952
65.292500,2.133295,39.834639
66.272500,2.189614,38.982372
67.252500,2.350963,38.217692
68.232500,2.593746,37.520461
69.212500,2.864689,36.754912
70.192500,2.891326,36.108331
71.172500,2.843378,35.413582
72.152500,3.000160,35.010075
73.132500,3.198040,34.376097
74.112500,3.300024,33.729558
75.092500,3.468221,33.234730
76.072500,3.583144,32.677044
77.052500,3.579339,32.275056
78.032500,3.651641,31.759271
79.012500,3.819077,31.431110
79.992500,3.757430,31.053167
80.972500,3.816794,30.646388
81.952500,3.778740,30.405520
82.932500,3.973576,29.968586
83.912500,3.821361,29.844434
84.892500,3.803856,29.591867
85.872500,3.764280,29.263904
86.852500,3.770368,28.907301
87.832500,3.702633,28.544299
88.812500,3.534435,28.220906
89.792500,3.446150,28.061171
90.772500,3.414185,28.021042
91.752500,3.386025,27.797903
92.732500,3.242943,27.620783
93.712500,3.350255,27.396379
94.692500,3.309918,27.283640
95.672500,3.186624,27.246467
96.652500,3.030603,26.923249
97.632500,3.058763,26.739380
98.612500,2.810652,26.469247
99.592500,3.091489,25.462739
100.572500,5.317635,20.989327
101.552500,6.625924,21.981857
102.532500,5.058869,25.238029
103.512500,5.596950,26.959211
104.492500,5.004072,27.620795
105.472500,3.051152,24.860203
106.452500,2.214730,24.993216
107.432500,2.243651,24.732017
108.412500,2.014567,24.915935
109.392500,1.932371,25.042722
110.372500,1.858547,25.311125
111.352500,1.814404,25.521778
112.332500,1.472681,25.350851
113.312500,1.320466,24.878755
114.292500,1.114215,24.424058
115.272500,1.150746,24.236397
116.252500,1.012992,24.402107
117.232500,1.039629,25.112108
118.212500,0.990159,25.761647
119.192500,0.724544,26.327689
120.172500,0.446751,26.508725
121.152500,0.202446,26.595727
122.132500,0.216907,26.352727
123.112500,0.188747,26.090756
124.092500,-0.028921,26.056526
125.072500,-0.050992,26.007710
126.052500,-0.073824,26.089856
127.032500,-0.164392,26.088374
128.012500,-0.258766,25.809837
128.992500,-0.379016,25.722069
129.972500,-0.654525,25.821034
130.952500,-0.875237,25.893919
131.932500,-0.980265,25.899639
132.912500,-0.971894,25.884904
133.892500,-1.000814,25.880685
134.872500,-1.052568,25.814790
135.852500,-1.063984,25.915063
136.832500,-0.972655,26.031456
137.812500,-0.914813,26.130113
138.792500,-0.957433,26.168056
139.772500,-1.161401,26.482672
140.752500,-1.280890,26.621551
141.732500,-1.353953,26.707897
142.712500,-1.464309,26.589416
143.692500,-1.489425,26.912040
144.672500,-1.620330,26.927526
145.652500,-1.695676,26.981051
146.632500,-1.779395,26.987750
147.612500,-1.840281,27.127918
148.592500,-1.853219,27.323962
149.572500,-1.881379,27.301341
150.552500,-1.966619,27.552453
151.532500,-1.964336,27.554316
152.512500,-2.025983,27.715327
153.492500,-2.180482,27.958556
154.472500,-2.135578,28.174252
155.452500,-2.236040,28.172226
156.432500,-2.151561,28.235264
157.412500,-2.211686,28.582181
158.392500,-2.217013,28.708802
159.372500,-2.370750,28.889620
160.352500,-2.314431,29.042837
161.332500,-2.271811,29.296742
162.312500,-2.328891,29.524948
163.292500,-2.313670,29.651873
164.272500,-2.259633,29.814680
165.252500,-2.334219,30.112582
166.232500,-2.372273,30.512132
167.212500,-2.446097,30.840815
168.192500,-2.420220,31.248424
169.172500,-2.318997,31.375481
170.152500,-2.293882,31.817729
171.132500,-2.230713,32.165325
172.112500,-2.237562,32.581616
173.092500,-2.091436,32.939687
174.072500,-1.936176,33.434384
175.052500,-1.910300,33.865917
176.032500,-1.927804,34.282063
177.012500,-1.805271,35.131479
177.992500,-1.675888,35.776574
178.972500,-1.713181,36.559688
179.952500,-1.559444,37.235143
180.932500,-1.497797,37.822481
181.912500,-1.422450,38.744863
182.892500,-1.388202,39.569201
183.872500,-1.331882,40.473244
184.852500,-1.089099,41.337207
185.832500,-0.911007,42.362877
186.812500,-0.774014,43.391045
187.792500,-0.694101,44.866655
188.772500,-0.582223,46.144667
189.752500,-0.568523,47.291171
190.732500,0.169720,49.180404
191.712500,1.255014,51.866397
192.692500,1.429300,39.673310
193.672500,2.204075,18.105373
194.652500,1.878335,28.200648
195.632500,0.761076,44.418130
196.612500,1.196411,47.650009
197.592500,2.052621,46.825123
198.572500,2.382928,44.746621
199.552500,2.296165,43.812896
200.532500,2.274855,41.416129
201.512500,3.148570,42.502588
202.492500,3.141720,41.071423
203.472500,3.157703,38.766140
204.452500,2.617339,36.600863
205.432500,2.551886,34.721330
206.412500,2.058709,33.389193
207.392500,1.771023,31.312983
208.372500,2.311387,30.320839
209.352500,2.785537,30.945319
210.332500,2.171349,31.114476
211.312500,2.153083,31.165115
212.292500,1.513779,30.628706
213.272500,1.907255,30.812673
214.252500,2.274094,30.434772
215.232500,1.142374,28.957126
216.212500,2.269527,28.696080
217.192500,2.546559,28.751861
218.172500,1.880618,28.593698
219.152500,1.221526,27.982733
220.132500,2.564825,29.029663
221.112500,2.476540,29.229155
222.092500,2.196464,28.442565
223.072500,2.268766,28.683467
224.052500,2.437725,28.438780
225.032500,2.051099,28.494391
